	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
209271_at	218.374198	97.165214	204.678851	184.317152	225.818954	330.776821	449.656144	237.520977	279.477853	248.170868	151.024503
209272_at	250.639434	574.981897	486.85491	589.080598	689.49375	869.359202	1337.787408	705.792216	1303.265121	868.645755	360.03097
209273_s_at	49.610028	13.69789	19.127529	391.15217	19.283992	39.752487	68.890059	68.679105	29.63024	43.45253	49.369043
209274_s_at	438.763928	410.859615	411.500348	1935.445633	476.706035	639.760832	789.157304	1242.822988	629.397097	538.547353	466.330934
209275_s_at	24.363968	14.041411	15.233691	16.94072	19.117336	24.184817	21.476381	23.483354	18.758764	35.816402	22.867754
209276_s_at	174.792545	123.415028	225.179456	278.467333	365.993598	813.877881	298.518713	252.735593	201.561725	894.295746	276.478885
209277_at	64.314941	55.410456	72.480713	77.401135	75.492523	145.505337	63.390943	52.235711	62.154321	58.983464	42.530278
209278_s_at	25.311798	23.763811	25.533236	27.377634	25.430775	45.466725	25.474383	22.985687	25.976496	23.367184	22.797472
209279_s_at	17.757855	22.502185	16.502143	23.364844	19.363921	20.873855	22.642254	19.727123	26.190531	22.518152	21.48321
209280_at	29.3433	23.995802	31.58414	49.891448	38.506082	45.711112	42.416996	32.786763	32.365889	37.120979	27.037688
209281_s_at	260.542085	65.653278	154.082539	33.027773	136.999017	281.766102	123.653759	118.405024	69.884564	265.493839	128.325078
209282_at	34.016131	30.520678	34.008961	28.219226	34.175017	46.592965	32.773973	33.601547	30.188316	33.158581	39.184899
209283_at	36.917944	49.359087	34.882852	37.818774	37.168802	35.603426	35.309876	35.029803	33.98384	37.280312	29.146271
209284_s_at	139.344106	55.481749	123.400304	82.737461	115.026704	239.73589	167.721693	117.403189	125.631399	205.115939	118.730431
209285_s_at	829.260182	739.771942	1057.593801	817.905239	1135.274362	1859.868586	1552.178277	1122.096861	1337.431119	1996.633151	741.779325
209286_at	293.252299	237.23612	393.762522	435.916617	626.614063	1209.503341	569.40324	810.33026	694.718401	1241.580902	183.241076
209287_s_at	22.57951	22.449114	18.864061	22.522883	37.269832	32.382139	24.224348	24.859307	23.635028	41.710225	22.766904
209288_s_at	121.146913	69.090099	165.909175	172.500733	342.218942	784.835829	322.827473	298.019893	272.996508	674.310317	71.026463
209289_at	48.169768	59.191633	56.028178	71.138667	62.516739	58.13513	60.787237	121.977691	64.567886	60.148471	34.198705
209290_s_at	58.116258	50.604229	69.446364	148.345961	85.03803	63.84959	91.333755	98.796232	65.427596	63.532322	27.941949
209291_at	34.594163	22.928295	32.318512	29.466513	29.924729	29.825392	35.472787	26.473071	30.499949	28.967852	26.326214
209292_at	49.307767	56.409338	69.179513	59.87982	59.126053	44.453561	48.767871	61.504791	54.76746	54.163562	56.587004
209293_x_at	26.060505	35.604123	26.90105	25.031702	27.805354	24.708106	25.896569	26.732024	30.841727	26.096414	32.374818
209294_x_at	25.056619	32.063111	22.975117	26.98504	26.576191	24.344728	25.452552	24.002159	28.393908	28.333393	27.004094
209295_at	327.770177	547.183268	471.622607	462.313133	699.085805	886.416754	846.340286	493.867317	542.365508	1364.262642	334.66534
209296_at	380.308715	167.367508	404.515489	464.350354	398.929385	791.196338	444.807069	503.636395	375.415991	770.769576	255.495449
209297_at	75.262888	70.074778	94.248107	1613.977232	184.455042	177.845064	211.236954	198.827764	141.685546	413.033209	56.531181
209298_s_at	62.949617	39.837012	40.097506	753.451274	54.403229	63.319917	84.878968	88.218533	58.167147	136.869255	52.804417
209299_x_at	36.997618	21.714213	50.594417	25.900088	41.483448	88.142554	74.043469	30.202997	40.83813	26.684658	38.244489
209300_s_at	92.091606	42.962493	86.574778	89.380498	50.428431	188.228581	128.48827	87.477341	66.019169	145.00308	63.88558
209301_at	178.51928	85.506726	180.128192	4133.867386	335.064336	235.365636	263.600884	742.679844	278.92607	354.457724	92.08741
209302_at	57.970375	57.903199	49.600495	80.539676	82.171857	135.436428	167.508109	87.39444	139.08815	99.066611	49.682253
209303_at	210.592264	275.251517	271.679355	418.681277	369.956795	473.43335	801.694855	436.746358	680.67201	550.567547	167.656337
209304_x_at	35.797837	29.456829	31.735831	23.549957	30.833365	53.177597	25.523616	32.711174	21.636673	56.961025	38.746789
