	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
211720_x_at	1636.377494	3690.538455	1476.523809	1510.261863	2358.096174	1699.510359	2909.674185	1472.198744	3692.14765	1714.242854	1448.036054
211721_s_at	37.947241	34.332959	27.464424	33.053081	26.87171	33.034695	44.070848	40.876204	54.369753	32.812667	43.443675
211722_s_at	38.593358	30.934237	40.05611	39.359421	39.566045	40.520515	38.748053	40.458166	35.200669	38.814099	31.01582
211724_x_at	190.654525	110.401039	145.097933	100.081375	306.125493	253.350526	227.769534	145.280377	171.003632	166.045228	153.181846
211725_s_at	45.489811	39.046005	28.120318	36.270219	44.214126	53.337533	33.706383	41.781951	39.337102	82.718026	48.671182
211726_s_at	34.210891	42.965243	34.812119	32.663088	37.847614	32.816532	35.126594	31.948521	35.622668	35.673015	29.096801
211727_s_at	120.088864	170.915986	83.407596	177.812243	161.60437	259.319275	347.256048	171.682718	303.125236	153.124184	155.205176
211728_s_at	30.21352	32.476841	25.933116	37.80179	35.921806	27.789083	34.640569	33.783943	45.769702	28.720842	28.972191
211729_x_at	56.37843	69.942149	61.317303	180.959909	179.329898	261.830801	269.450283	89.953778	207.104388	286.876649	60.248458
211730_s_at	74.465139	156.638383	90.713909	288.170446	108.645873	278.943083	225.388974	119.514536	194.13913	199.222262	98.719816
211731_x_at	35.27512	39.416894	43.776499	37.70648	41.151208	41.096017	40.865991	33.01825	43.529514	42.615814	32.071607
211732_x_at	27.591828	21.899693	23.67454	24.203885	39.967576	82.691634	23.815335	29.989841	25.45744	155.351189	29.088205
211733_x_at	440.22586	745.777056	656.823798	338.766132	968.37409	938.66756	704.70698	502.259345	679.497838	945.560983	339.911638
211734_s_at	310.101931	569.319033	935.999925	131.638685	869.985448	46.983903	86.700514	200.602454	295.641642	919.048448	92.143094
211735_x_at	19.227133	18.344856	18.468615	18.193149	19.742986	18.571529	18.745878	18.965918	18.950652	19.943007	19.252257
211736_at	38.515222	35.037191	32.008594	32.970803	27.504403	29.536891	31.331303	35.510335	36.850374	36.665376	36.689004
211737_x_at	80.980752	141.421492	120.267395	116.671503	101.236268	87.343734	91.146807	82.408186	108.470654	93.773854	103.957165
211738_x_at	22.105861	23.959827	20.006964	18.965767	22.893258	25.018566	22.691246	20.158674	20.284047	20.942793	20.973869
211739_x_at	49.508128	53.02252	45.031065	44.308795	46.560905	155.351395	39.290263	47.938839	44.736267	42.881578	46.396172
211740_at	144.823141	139.293535	160.430109	126.92815	107.927496	97.811613	112.37241	126.020642	129.872081	109.518841	131.699819
211741_x_at	36.455186	36.464188	33.373077	36.530624	35.410095	36.131849	35.229589	33.71672	33.636021	35.660519	33.254406
211742_s_at	419.39144	172.913311	438.289661	84.656995	505.47622	607.694794	296.35502	302.248376	171.529864	795.617431	201.238607
211743_s_at	24.513719	292.413361	39.824784	61.226666	420.883976	24.301577	22.327515	35.870646	111.568154	22.420016	26.672031
211744_s_at	48.177265	45.677947	35.00133	69.515586	79.670898	108.357089	76.435677	69.008893	59.181319	160.605155	58.697177
211745_x_at	3847.120045	10426.891768	2044.735733	20334.524209	7857.663968	6610.607997	11678.10399	4348.164471	11450.742082	6170.847458	2271.538029
211746_x_at	1008.591903	1997.628034	1127.672553	1068.374224	1374.729457	1400.375426	1800.80995	1132.391517	2035.254013	1676.754822	813.393905
211747_s_at	103.572353	199.573482	89.245631	132.638323	261.093082	201.458525	222.609929	136.959721	259.894805	145.179646	98.48476
211748_x_at	59.599714	40.33017	116.041736	49.435643	62.117229	70.951334	44.802974	42.849787	39.525404	51.639818	40.137187
211749_s_at	75.296209	36.255849	52.326468	65.388881	78.239375	161.173482	110.093499	86.604448	81.534082	211.948934	71.199604
211750_x_at	383.45062	1590.994508	641.656709	1580.332483	1360.514442	1090.967388	1343.443176	978.333947	1825.805038	1162.149917	319.561852
211751_at	239.236459	410.462153	236.992969	140.16266	298.39358	349.526735	261.2662	254.981492	201.18255	214.331497	218.088317
211752_s_at	31.905726	25.380538	29.105943	36.32467	37.639928	50.3265	40.832986	32.755375	31.362319	45.826028	29.699876
211753_s_at	38.806919	34.629639	37.990834	34.986809	39.516701	39.188475	42.005723	43.393663	36.867168	35.888001	33.616173
