	Lin-_1	Lin-_2	MNC_1	MNC_2
209167_at	175.1568841728	162.8028924398	47.3605127284	58.5599921702
209168_at	74.3546529255	76.9718833614	42.7836786096	46.1567565515
209169_at	115.1689033248	103.0026210052	59.5934663169	59.5763776759
209170_s_at	89.7680600682	93.8030237179	34.0294889789	44.0278584148
209171_at	1214.1436523497	1205.372307549	898.597008128	823.6944504192
209172_s_at	132.287463518	145.050785063	44.6321899791	74.8161225731
209173_at	25.2681471788	23.4250921624	15.4888720765	21.6221961771
209174_s_at	1638.9649213778	1550.3936037019	1536.6441917327	1298.4182391945
209175_at	507.9237330913	522.0806679642	416.712754917	431.1819762375
209176_at	320.2325050049	334.5650760658	312.5528272289	319.2332494822
209177_at	588.9405237178	565.398206118	269.7125479052	317.7096776039
209178_at	395.7999762961	400.0502557089	329.8705409246	374.0264209082
209179_s_at	590.9837355345	626.9193820615	1162.516440557	1059.068555702
209180_at	1399.6727340232	1333.7323712842	1005.0650578155	984.690576891
209181_s_at	1961.288697104	1879.9152084005	1514.1115247633	1390.6432020636
209182_s_at	139.8752055463	132.2549838553	84.367510686	110.2570291736
209183_s_at	295.9275830542	269.3533761478	80.342932395	104.4870442388
209184_s_at	1556.2585768526	1472.6358351683	4171.0963858846	3573.9312435674
209185_s_at	4550.8739611094	4026.2132935946	8673.7785883997	7522.878249992
209186_at	3299.099601409	3053.2175206758	1874.268923972	1607.9786109042
209187_at	370.4460522203	399.3736111247	585.7940558394	581.5697860513
209188_x_at	438.658380453	440.9938513303	705.0871346073	696.1536412656
209189_at	2369.8637250127	2346.0572148023	8584.091048611	8174.4066345001
209190_s_at	890.8598693327	849.9988868442	1789.3436172718	1551.1774076403
209191_at	465.3082250788	469.7774378792	296.3946496623	319.3818049882
209192_x_at	430.6030379741	431.0883169602	404.1383168356	407.8093727566
209193_at	2165.1850407157	1956.9528709315	2546.9713093391	2202.4016916794
209194_at	764.5446234408	665.4718857324	429.1789557259	444.9272310681
209195_s_at	404.2427555219	416.0223969523	84.6821047746	95.5931861717
209196_at	626.5466418992	581.739193356	329.9247174874	363.7688951534
209197_at	424.9345366269	421.5751793847	231.5516243437	241.6611738489
209198_s_at	570.2770498244	521.0857273601	325.648488017	347.3213190391
209199_s_at	3473.3298783702	3240.0078978763	1848.1841404604	1634.8615924091
209200_at	3850.0193887497	3554.3612029919	1919.6960260873	1761.7174043374
209201_x_at	296.8316060322	324.7023865806	1177.3818304159	1163.6464487982
209202_s_at	178.7416637024	186.7846189706	322.4820900987	341.1777203501
209203_s_at	109.7794904126	110.9559278637	121.8262855292	131.5329847132
209204_at	83.4607220011	96.8663922378	85.0650438461	75.2050019147
209205_s_at	477.4763598773	490.6772392433	321.4841302232	334.2339507766
209206_at	1307.4654970393	1284.202867232	1527.1746565863	1328.1182069301
209207_s_at	468.2352735196	487.3361654493	727.8081357873	681.7758209303
209208_at	416.9798062693	412.2525513902	251.8402670084	285.1457188534
209209_s_at	17.0845633139	18.299533614	14.176209813	15.4641704526
209210_s_at	80.4624132984	76.9760072732	30.5549588898	34.255992158
209211_at	289.6493076326	296.7380483162	849.7872215831	891.6174143889
209212_s_at	93.2118088436	81.4899858833	149.9540285522	183.7856189664
209213_at	235.3666550603	241.4758908181	166.0364986225	185.6627228533
209214_s_at	1020.602028626	1040.9683715688	1084.534911506	867.67326932
209215_at	394.6086003093	372.1554984893	305.0110039457	325.6845375186
209216_at	765.8776308952	758.4186826612	1208.3719250481	1158.618357883
209217_s_at	214.7073441234	200.8697247031	308.9817685239	338.080036104
209218_at	625.8991473256	666.0335091109	165.3646028575	219.3192464139
209219_at	1108.4143868189	1089.9223459497	730.1243335607	786.1348583297
209220_at	36.831072908	33.7888103921	34.3326343125	33.7174973197
209221_s_at	590.4057245183	595.6647638222	1655.9399788685	1508.4591965638
209222_s_at	775.0624432099	722.3030739054	1769.05897267	1539.2141127793
209223_at	77.8908650187	94.7152546352	91.0829692036	99.3157932642
209224_s_at	1616.0445657186	1499.6331640008	1323.357299561	1230.9098804608
209225_x_at	943.3448288634	822.2537626536	706.0896542561	658.7611406086
209226_s_at	2217.0074673436	2224.0041925091	1663.5929217874	1498.1556505253
209227_at	19.6368600641	29.189735883	37.4411033347	31.7459866766
