	ChAT	Cone
10348713	2.41007506666667	2.621889001
10348739	2.80057448766667	2.85911911666667
10348775	6.19288627066667	5.24979117666667
10348791	2.461193031	2.51235558
10348817	1.97771950866667	1.85171131333333
10348829	2.97571119266667	3.106784264
10348858	5.779712776	5.027176269
10348866	4.52682375266667	4.53169019866667
10348879	2.947538705	2.93700227366667
10348889	4.64017575433333	4.46712779266667
10348896	2.071296478	2.11119516866667
10348906	2.754330524	2.63617025833333
10348910	2.94753998966667	2.95964300466667
10348917	6.85943774	6.47130134833333
10348924	10.6697219666667	10.59536452
10348929	6.84592774666667	7.591881836
10348932	4.97698247033333	5.07567336733333
10348947	1.870603231	1.92389582166667
10348963	2.057686548	1.94724418633333
10348999	2.63881534933333	2.692984699
10349014	4.766361821	4.86401178866667
10349016	2.873505409	2.98270025766667
10349049	6.80392334366667	6.491839643
10349051	3.322135668	3.45061706966667
10349065	2.25599719533333	2.06087393866667
10349081	2.27874869233333	2.07087690533333
10349100	4.76151338566667	5.47334298166667
10349102	2.342660967	2.52288265933333
10349108	1.92278411833333	1.84548605633333
10349118	1.97388895066667	2.04928266233333
10349129	1.82886273766667	1.764740117
10349138	1.801128758	1.75534829
10349147	1.89610566933333	1.836542262
10349157	2.30931492466667	2.556926117
10349166	1.7804869	1.68056698866667
10349174	2.220833866	2.31504419166667
10349184	2.64253404966667	2.64542454933333
10349208	1.94642630666667	1.989764905
10349239	4.18723285033333	3.618526054
10349249	2.402847471	2.81783176833333
10349295	2.532692258	2.58023862633333
10349316	5.284515038	4.779570599
10349319	2.662109693	2.623549686
10349333	5.09924918633333	5.05847662433333
10349340	3.619189463	3.65944338466667
10349345	2.30593282066667	2.47268801066667
10349348	2.04245283433333	2.28826166
10349378	2.210700659	2.36303586866667
10349383	4.71980381533333	4.291162144
10349401	2.11370464833333	2.145919168
10349404	2.227940607	2.252003973
10349431	1.935166778	2.23640807833333
10349442	3.30376795133333	3.12060042033333
10349453	2.84357941666667	2.82033566266667
10349478	10.5229531266667	10.0301186433333
10349480	3.96198938166667	3.62888459233333
10349512	5.54571591833333	6.060441633
10349529	2.362913907	2.501696627
10349559	2.53202884633333	2.570647693
10349562	2.46329929	2.66590715166667
10349571	2.299501605	2.28316228266667
10349580	2.360955762	2.48190905266667
10349593	2.71074330233333	2.72277878233333
10349603	2.05768905466667	1.97107537166667
10349610	4.56887564433333	4.330205173
10349637	2.463071519	2.38604396
10349644	2.32725249066667	2.54767485733333
10349648	2.44841771966667	2.47936725166667
10349661	2.100147702	2.09226930333333
